Width,Height,Icing Thickness,Flavour,Wedding,Fancy,Price
13,7,6,vanilla,No,Somewhat,63.5
8,6,9,lemon,No,Somewhat,13.26
13,6,6,vanilla,No,Somewhat,88.26
6,6,4,marzipan,No,Somewhat,8.76
8,10,5,chocolate,Yes,Somewhat,24.95
7,8,10,lemon,No,Somewhat,22.06
9,6,7,chocolate,No,Very,15.52
7,5,4,lemon,No,Somewhat,17.91
14,9,5,chocolate,No,Somewhat,79.56
7,7,8,vanilla,No,No,9.85
4,4,11,chocolate,No,No,1.3
7,5,9,chocolate,No,No,9.41
7,4,10,vanilla,No,No,4.78
10,5,7,strawberry,No,No,20.45
10,10,8,chocolate,Yes,Somewhat,41.89
11,8,11,strawberry,No,No,24.42
12,7,9,vanilla,No,Somewhat,57.29
8,7,10,vanilla,No,No,20.37
10,7,12,chocolate,No,No,23.62
4,11,7,strawberry,Yes,Somewhat,5.09
10,11,9,chocolate,Yes,Very,43.09
7,6,8,chocolate,No,Somewhat,20.84
8,5,10,chocolate,No,Somewhat,10.34
11,8,11,lemon,No,Somewhat,34.88
11,7,6,chocolate,No,Somewhat,53.3
4,6,7,vanilla,No,Somewhat,4.9
10,7,8,lemon,No,No,40.15
8,7,8,strawberry,No,Somewhat,22.32
7,9,8,chocolate,No,Somewhat,16.24
8,5,10,chocolate,No,Somewhat,18.84
11,5,8,vanilla,No,No,19.58
4,7,11,chocolate,No,Somewhat,3.08
6,6,7,vanilla,No,No,9.9
13,10,10,lemon,No,Somewhat,55.41
11,8,6,vanilla,No,No,67.34
5,8,6,chocolate,Yes,Somewhat,6.62
12,7,8,lemon,No,No,57.34
9,12,7,chocolate,Yes,Very,70.02
7,9,7,vanilla,No,Somewhat,21.24
11,6,4,strawberry,No,Somewhat,37.45
7,10,7,chocolate,No,Somewhat,24.01
7,8,5,lemon,No,No,17.15
8,9,9,lemon,No,No,24.11
12,7,7,lemon,No,No,49.8
10,6,6,strawberry,No,Somewhat,32.94
10,5,12,strawberry,No,Very,13.54
7,8,7,vanilla,No,No,12.7
10,9,10,chocolate,Yes,No,13.28
7,5,5,chocolate,No,Somewhat,12.1
11,9,7,vanilla,No,Somewhat,58.75
9,8,6,lemon,No,No,54.1
6,4,10,chocolate,No,Somewhat,5.88
11,9,6,strawberry,No,Somewhat,97.15
10,6,9,vanilla,No,Somewhat,23.4
6,7,9,strawberry,No,No,8.58
13,10,9,vanilla,Yes,Very,69.92
9,5,10,lemon,No,No,16.93
11,7,12,chocolate,No,Very,26.12
